history_id,lane_id,pol,pod,carrier,mode,pol_atd,fdest_ata,lead_time_days,is_outlier,source_type
SH-0038,L3-NINGBO-ANTWERP-MSC,Ningbo,Antwerp,MSC,sea,2026-05-09,2026-06-07,29,False,SYNTHETIC
SH-0039,L3-NINGBO-ANTWERP-MSC,Ningbo,Antwerp,MSC,sea,2026-04-16,2026-05-20,34,False,SYNTHETIC
SH-0040,L3-NINGBO-ANTWERP-MSC,Ningbo,Antwerp,MSC,sea,2026-06-13,2026-07-18,35,False,SYNTHETIC
SH-0041,L3-NINGBO-ANTWERP-MSC,Ningbo,Antwerp,MSC,sea,2026-02-03,2026-03-05,30,False,SYNTHETIC
SH-0042,L3-NINGBO-ANTWERP-MSC,Ningbo,Antwerp,MSC,sea,2026-04-13,2026-05-24,41,False,SYNTHETIC
SH-0043,L3-NINGBO-ANTWERP-MSC,Ningbo,Antwerp,MSC,sea,2026-06-28,2026-08-03,36,False,SYNTHETIC
SH-0044,L3-NINGBO-ANTWERP-MSC,Ningbo,Antwerp,MSC,sea,2026-02-14,2026-03-23,37,False,SYNTHETIC
SH-0045,L3-NINGBO-ANTWERP-MSC,Ningbo,Antwerp,MSC,sea,2026-05-08,2026-06-10,33,False,SYNTHETIC
SH-0046,L3-NINGBO-ANTWERP-MSC,Ningbo,Antwerp,MSC,sea,2026-05-16,2026-06-20,35,False,SYNTHETIC
SH-0047,L3-NINGBO-ANTWERP-MSC,Ningbo,Antwerp,MSC,sea,2026-03-05,2026-04-03,29,False,SYNTHETIC
SH-0048,L3-NINGBO-ANTWERP-MSC,Ningbo,Antwerp,MSC,sea,2026-05-24,2026-06-28,35,False,SYNTHETIC
SH-0049,L3-NINGBO-ANTWERP-MSC,Ningbo,Antwerp,MSC,sea,2026-03-10,2026-04-09,30,False,SYNTHETIC
SH-0050,L3-NINGBO-ANTWERP-MSC,Ningbo,Antwerp,MSC,sea,2026-03-12,2026-05-04,53,True,SYNTHETIC
SH-0051,L3-NINGBO-ANTWERP-MSC,Ningbo,Antwerp,MSC,sea,2026-02-01,2026-03-03,30,False,SYNTHETIC
SH-0052,L4-QINGDAO-ROTTERDAM-CMACGM,Qingdao,Rotterdam,CMA CGM,sea,2026-02-19,2026-03-18,27,False,SYNTHETIC
SH-0053,L4-QINGDAO-ROTTERDAM-CMACGM,Qingdao,Rotterdam,CMA CGM,sea,2026-04-19,2026-05-26,37,False,SYNTHETIC
SH-0054,L4-QINGDAO-ROTTERDAM-CMACGM,Qingdao,Rotterdam,CMA CGM,sea,2026-06-12,2026-07-11,29,False,SYNTHETIC
SH-0055,L4-QINGDAO-ROTTERDAM-CMACGM,Qingdao,Rotterdam,CMA CGM,sea,2026-02-12,2026-03-13,29,False,SYNTHETIC
SH-0056,L4-QINGDAO-ROTTERDAM-CMACGM,Qingdao,Rotterdam,CMA CGM,sea,2026-03-20,2026-04-22,33,False,SYNTHETIC
SH-0057,L4-QINGDAO-ROTTERDAM-CMACGM,Qingdao,Rotterdam,CMA CGM,sea,2026-02-01,2026-03-03,30,False,SYNTHETIC
SH-0058,L4-QINGDAO-ROTTERDAM-CMACGM,Qingdao,Rotterdam,CMA CGM,sea,2026-02-19,2026-03-25,34,False,SYNTHETIC
SH-0059,L4-QINGDAO-ROTTERDAM-CMACGM,Qingdao,Rotterdam,CMA CGM,sea,2026-06-12,2026-07-11,29,False,SYNTHETIC
SH-0060,L4-QINGDAO-ROTTERDAM-CMACGM,Qingdao,Rotterdam,CMA CGM,sea,2026-02-23,2026-03-23,28,False,SYNTHETIC
SH-0061,L4-QINGDAO-ROTTERDAM-CMACGM,Qingdao,Rotterdam,CMA CGM,sea,2026-05-10,2026-06-09,30,False,SYNTHETIC
SH-0062,L4-QINGDAO-ROTTERDAM-CMACGM,Qingdao,Rotterdam,CMA CGM,sea,2026-02-27,2026-04-05,37,False,SYNTHETIC
SH-0063,L4-QINGDAO-ROTTERDAM-CMACGM,Qingdao,Rotterdam,CMA CGM,sea,2026-04-01,2026-05-02,31,False,SYNTHETIC
SH-0064,L4-QINGDAO-ROTTERDAM-CMACGM,Qingdao,Rotterdam,CMA CGM,sea,2026-04-14,2026-05-12,28,False,SYNTHETIC
SH-0065,L4-QINGDAO-ROTTERDAM-CMACGM,Qingdao,Rotterdam,CMA CGM,sea,2026-07-01,2026-08-01,31,False,SYNTHETIC
SH-0066,L4-QINGDAO-ROTTERDAM-CMACGM,Qingdao,Rotterdam,CMA CGM,sea,2026-04-08,2026-05-17,39,False,SYNTHETIC
SH-0067,L4-QINGDAO-ROTTERDAM-CMACGM,Qingdao,Rotterdam,CMA CGM,sea,2026-03-02,2026-03-28,26,False,SYNTHETIC
SH-0068,L4-QINGDAO-ROTTERDAM-CMACGM,Qingdao,Rotterdam,CMA CGM,sea,2026-04-17,2026-05-17,30,False,SYNTHETIC
SH-0069,L5-NINGBO-BUSAN-HYUNDAI,Ningbo,Busan,HYUNDAI,sea,2026-05-16,2026-05-20,4,False,SYNTHETIC
SH-0070,L5-NINGBO-BUSAN-HYUNDAI,Ningbo,Busan,HYUNDAI,sea,2026-04-02,2026-04-07,5,False,SYNTHETIC
SH-0071,L5-NINGBO-BUSAN-HYUNDAI,Ningbo,Busan,HYUNDAI,sea,2026-04-11,2026-04-14,3,False,SYNTHETIC
SH-0072,L5-NINGBO-BUSAN-HYUNDAI,Ningbo,Busan,HYUNDAI,sea,2026-05-06,2026-05-09,3,False,SYNTHETIC
SH-0073,L5-NINGBO-BUSAN-HYUNDAI,Ningbo,Busan,HYUNDAI,sea,2026-02-08,2026-02-11,3,False,SYNTHETIC
SH-0074,L5-NINGBO-BUSAN-HYUNDAI,Ningbo,Busan,HYUNDAI,sea,2026-02-24,2026-03-01,5,False,SYNTHETIC
SH-0075,L5-NINGBO-BUSAN-HYUNDAI,Ningbo,Busan,HYUNDAI,sea,2026-07-16,2026-07-19,3,False,SYNTHETIC
SH-0076,L5-NINGBO-BUSAN-HYUNDAI,Ningbo,Busan,HYUNDAI,sea,2026-06-11,2026-06-14,3,False,SYNTHETIC
SH-0077,L5-NINGBO-BUSAN-HYUNDAI,Ningbo,Busan,HYUNDAI,sea,2026-04-21,2026-04-25,4,False,SYNTHETIC
SH-0078,L5-NINGBO-BUSAN-HYUNDAI,Ningbo,Busan,HYUNDAI,sea,2026-02-22,2026-02-26,4,False,SYNTHETIC
SH-0079,L5-NINGBO-BUSAN-HYUNDAI,Ningbo,Busan,HYUNDAI,sea,2026-04-28,2026-05-02,4,False,SYNTHETIC
SH-0080,L5-NINGBO-BUSAN-HYUNDAI,Ningbo,Busan,HYUNDAI,sea,2026-06-07,2026-06-12,5,False,SYNTHETIC
SH-0081,L5-NINGBO-BUSAN-HYUNDAI,Ningbo,Busan,HYUNDAI,sea,2026-02-01,2026-02-05,4,False,SYNTHETIC
SH-0082,L5-NINGBO-BUSAN-HYUNDAI,Ningbo,Busan,HYUNDAI,sea,2026-05-03,2026-05-07,4,False,SYNTHETIC
SH-0083,L5-NINGBO-BUSAN-HYUNDAI,Ningbo,Busan,HYUNDAI,sea,2026-04-02,2026-04-06,4,False,SYNTHETIC
SH-0084,L5-NINGBO-BUSAN-HYUNDAI,Ningbo,Busan,HYUNDAI,sea,2026-03-14,2026-03-18,4,False,SYNTHETIC
SH-0085,L5-NINGBO-BUSAN-HYUNDAI,Ningbo,Busan,HYUNDAI,sea,2026-04-17,2026-04-22,5,False,SYNTHETIC
SH-0086,L5-NINGBO-BUSAN-HYUNDAI,Ningbo,Busan,HYUNDAI,sea,2026-03-20,2026-03-26,6,True,SYNTHETIC
SH-0087,L5-NINGBO-BUSAN-HYUNDAI,Ningbo,Busan,HYUNDAI,sea,2026-02-15,2026-02-18,3,False,SYNTHETIC
SH-0088,L5-NINGBO-BUSAN-HYUNDAI,Ningbo,Busan,HYUNDAI,sea,2026-07-14,2026-07-19,5,False,SYNTHETIC
SH-0089,L5-NINGBO-BUSAN-HYUNDAI,Ningbo,Busan,HYUNDAI,sea,2026-02-20,2026-02-26,6,True,SYNTHETIC
SH-0090,L5-NINGBO-BUSAN-HYUNDAI,Ningbo,Busan,HYUNDAI,sea,2026-04-21,2026-04-27,6,False,SYNTHETIC
SH-0091,L5-NINGBO-BUSAN-HYUNDAI,Ningbo,Busan,HYUNDAI,sea,2026-07-26,2026-07-31,5,False,SYNTHETIC
SH-0092,L5-NINGBO-BUSAN-HYUNDAI,Ningbo,Busan,HYUNDAI,sea,2026-05-18,2026-05-22,4,False,SYNTHETIC
SH-0093,L6-INCHEON-FRANKFURT-LH,Incheon,Frankfurt,LH,air,2026-02-12,2026-02-16,4,True,SYNTHETIC
SH-0094,L6-INCHEON-FRANKFURT-LH,Incheon,Frankfurt,LH,air,2026-02-10,2026-02-12,2,False,SYNTHETIC
SH-0095,L6-INCHEON-FRANKFURT-LH,Incheon,Frankfurt,LH,air,2026-06-01,2026-06-05,4,False,SYNTHETIC
SH-0096,L6-INCHEON-FRANKFURT-LH,Incheon,Frankfurt,LH,air,2026-03-04,2026-03-06,2,False,SYNTHETIC
SH-0097,L6-INCHEON-FRANKFURT-LH,Incheon,Frankfurt,LH,air,2026-05-22,2026-05-25,3,True,SYNTHETIC
SH-0098,L6-INCHEON-FRANKFURT-LH,Incheon,Frankfurt,LH,air,2026-07-25,2026-07-28,3,False,SYNTHETIC
SH-0099,L6-INCHEON-FRANKFURT-LH,Incheon,Frankfurt,LH,air,2026-07-10,2026-07-12,2,False,SYNTHETIC
SH-0100,L6-INCHEON-FRANKFURT-LH,Incheon,Frankfurt,LH,air,2026-07-30,2026-08-02,3,False,SYNTHETIC
SH-0101,L6-INCHEON-FRANKFURT-LH,Incheon,Frankfurt,LH,air,2026-07-21,2026-07-24,3,False,SYNTHETIC
SH-0102,L6-INCHEON-FRANKFURT-LH,Incheon,Frankfurt,LH,air,2026-07-03,2026-07-07,4,False,SYNTHETIC
SH-0103,L6-INCHEON-FRANKFURT-LH,Incheon,Frankfurt,LH,air,2026-02-07,2026-02-10,3,False,SYNTHETIC
SH-0104,L6-INCHEON-FRANKFURT-LH,Incheon,Frankfurt,LH,air,2026-05-15,2026-05-18,3,False,SYNTHETIC
SH-0105,L6-INCHEON-FRANKFURT-LH,Incheon,Frankfurt,LH,air,2026-07-20,2026-07-22,2,False,SYNTHETIC
SH-0106,L6-INCHEON-FRANKFURT-LH,Incheon,Frankfurt,LH,air,2026-07-23,2026-07-26,3,False,SYNTHETIC
SH-0107,L6-INCHEON-FRANKFURT-LH,Incheon,Frankfurt,LH,air,2026-07-06,2026-07-09,3,False,SYNTHETIC
SH-0108,L6-INCHEON-FRANKFURT-LH,Incheon,Frankfurt,LH,air,2026-07-08,2026-07-11,3,False,SYNTHETIC
SH-0109,L6-INCHEON-FRANKFURT-LH,Incheon,Frankfurt,LH,air,2026-03-17,2026-03-20,3,False,SYNTHETIC
SH-0110,L6-INCHEON-FRANKFURT-LH,Incheon,Frankfurt,LH,air,2026-07-16,2026-07-19,3,False,SYNTHETIC
SH-0111,L6-INCHEON-FRANKFURT-LH,Incheon,Frankfurt,LH,air,2026-06-24,2026-06-27,3,False,SYNTHETIC
SH-0112,L6-INCHEON-FRANKFURT-LH,Incheon,Frankfurt,LH,air,2026-06-09,2026-06-12,3,False,SYNTHETIC
SH-0113,L6-INCHEON-FRANKFURT-LH,Incheon,Frankfurt,LH,air,2026-05-04,2026-05-06,2,False,SYNTHETIC
SH-0114,L6-INCHEON-FRANKFURT-LH,Incheon,Frankfurt,LH,air,2026-06-03,2026-06-05,2,False,SYNTHETIC
SH-0115,L6-INCHEON-FRANKFURT-LH,Incheon,Frankfurt,LH,air,2026-05-10,2026-05-15,5,True,SYNTHETIC
SH-0116,L6-INCHEON-FRANKFURT-LH,Incheon,Frankfurt,LH,air,2026-02-10,2026-02-16,6,True,SYNTHETIC
